id,bid,正文,头条文章url,原始图片url,视频url,位置,日期,工具,点赞数,评论数,评论,转发数,话题,@用户,完整日期
[7674f040bf],[2612bcab70],"抑郁症
怎么总是会搞砸呢？
为什么别人永远都不能遵守信用呢？
为什么我以为的希望总会因为各种原因掐灭呢？为什么我每天都不开心？
为什么我记不住开心的事？
为什么每天都有不开心的事？
为什么别人比我正常？
为什么我总像个疯子一样？
为什么我脑子里永远都是负面的？
为什么一直焦虑内耗？ ...
全文",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-06-01T13:36:21,抑郁症超话,0,3,"[{""id"": ""[f82ca2e6d1]"", ""created_at"": ""20小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": ""回复@不是jsdhwdmaX: [心]"", ""reply_id"": 5040453453611582, ""reply_text"": ""回复@要长记性的木子: [单身狗]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[bfcbcdece7]"", ""created_at"": ""20小时前"", ""source"": ""来自湖南"", ""user"": {""id"": ""[a697bc100e]"", ""screen_name"": ""[1490363640]""}, ""text"": ""回复@要长记性的木子: [单身狗]"", ""reply_id"": 5040450956430471, ""reply_text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}, {""id"": ""[6a9dc24086]"", ""created_at"": ""20小时前"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-06-01 13:36:21
[78e4f94801],[fc90bd4e44],"抑郁症
今天是开心又难过的一天。
上次做的猫meme分享了我之前的日常，后来一直到今天也发生了很多事。
有见了回来的朋友，还有工作上的烦恼，于是，我又思考起了未来，感觉很迷茫，但又安慰（欺骗）自己，过好自己的生活就好了，按自己的脚步去生活。
这个世界真残酷 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-31T21:55:39,抑郁症超话,0,0,,0,,[9b2d5b4678],2024-05-31 21:55:39
[2d4493f73b],[d9a6f48fc5],"#光与夜之恋##夏鸣星#[夏鸣星生日活动·叙事曲]“我爱你，超越宇宙中的一切运行法则。它是没有条件、没有道理，却又无比明确的存在。”扫码来为他庆生吧：
网页链接
 ",[9b2d5b4678],[36371dd2c9],[9b2d5b4678],,2024-05-26T19:55:15,光与夜之恋,1,0,,0,"光与夜之恋,夏鸣星",[9b2d5b4678],2024-05-26 19:55:15
[35a94c2fbf],[ef55219d00],"#光与夜之恋##夏鸣星#[夏鸣星生日活动·叙事曲]“我爱你，超越宇宙中的一切运行法则。它是没有条件、没有道理，却又无比明确的存在。”扫码来为他庆生吧：
网页链接
 ",[9b2d5b4678],[ea93eb0c1c],[9b2d5b4678],,2024-05-24T13:41:58,光与夜之恋,0,1,"[{""id"": ""[fd3e37bfa8]"", ""created_at"": ""05-24"", ""source"": """", ""user"": {""id"": ""[0016dcda60]"", ""screen_name"": ""[a439e3fc96]""}, ""text"": ""好久不见，我和小伙伴们都在光与夜之恋的超话社区等你，快点来看看吧，回家指路&gt;&gt;光与夜之恋[超话]"", ""like_counts"": 0, ""liked"": false}]",0,"光与夜之恋,夏鸣星",[9b2d5b4678],2024-05-24 13:41:58
[99780e2166],[c3bec077ad],"抑郁症
这是今天为什么情绪爆发的原因，反正是这几天以来的日常发生的事情，猫meme有趣，所以做了这个视频，我想用一种活泼的方式分享，做得简陋，大家担待 
不是jsdhwdmaX的微博视频
 ",[9b2d5b4678],[9b2d5b4678],[d1f591aa5a],,2024-05-22T15:37:19,抑郁症超话,4,5,"[{'id': 5036875763157981, 'created_at': '05-22', 'source': '来自湖南', 'user': {'id': 6258472623, 'screen_name': '不是jsdhwdmaX'}, 'text': '回复@布偶人的日记:让大家看到了能开心笑一笑 [抱一抱]', 'reply_id': 5036875295228529, 'reply_text': '哈哈，姐妹真可爱 [抱一抱]', 'like_counts': 0, 'liked': False}, {'id': 5036875295228529, 'created_at': '05-22', 'source': '来自山东', 'user': {'id': 7887376055, 'screen_name': '布偶人的日记'}, 'text': '哈哈，姐妹真可爱 [抱一抱]', 'like_counts': 0, 'liked': False}, {'id': 5036872998322210, 'created_at': '05-22', 'source': '来自四川', 'user': {'id': 7897115559, 'screen_name': '炊子CHUIZI'}, 'text': '回复@不是jsdhwdmaX:嗯嗯！宝会好的加油！ ""[送花花]""', 'reply_id': 5036872376259855, 'reply_text': '回复@炊子CHUIZI:谢谢会注意身体的呜呜呜呜呜呜呜呜呜呜这几天坚持早睡早起了，也祝你天天开心！ [单身狗]', 'like_counts': 0, 'liked': False}, {'id': 5036872376259855, 'created_at': '05-22', 'source': '来自湖南', 'user': {'id': 6258472623, 'screen_name': '不是jsdhwdmaX'}, 'text': '回复@炊子CHUIZI:谢谢会注意身体的呜呜呜呜呜呜呜呜呜呜这几天坚持早睡早起了，也祝你天天开心！ [单身狗]', 'reply_id': 5036871686029487, 'reply_text': '宝好可爱！已经很棒啦！宝还是要注意身体呀！实在做不了就算了要开心要加油哦～宝会成功的 [抱一抱]', 'like_counts': 0, 'liked': False}, {'id': 5036871686029487, 'created_at': '05-22', 'source': '来自四川', 'user': {'id': 7897115559, 'screen_name': '炊子CHUIZI'}, 'text': '宝好可爱！已经很棒啦！宝还是要注意身体呀！实在做不了就算了要开心要加油哦～宝会成功的 [抱一抱]', 'like_counts': 0, 'liked': False}]",0,,[9b2d5b4678],2024-05-22 15:37:19
[100d9bdde7],[cdc73493d2],"#bilibili# 啾啾隽的视频
猫meme｜一个失败的对生活没期待的日常总结
 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T14:41:24,哔哩哔哩移动客户端,2,1,"[{""id"": ""[9496253722]"", ""created_at"": ""05-22"", ""source"": """", ""user"": {""id"": ""[0016dcda60]"", ""screen_name"": ""[a439e3fc96]""}, ""text"": ""你好，你感兴趣的“bilibili”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; bilibili[超话]"", ""like_counts"": 0, ""liked"": false}]",0,bilibili,[9b2d5b4678],2024-05-22 14:41:24
[6a978c768d],[6eb7558ac4],"抑郁症
为什么我努力了之后依旧没用，为什么生活要杀死我的期待，为什么家人永远不会觉得我很痛苦，他们永远都不想听我说，我永远都在挣扎，当我尝试从泥沼里爬出来永远会被踩下去，我从来都是不选择的那个，永远都得不到爱，所有的爱豆要有条件来换，我从来都是一无所有 ",[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-05-22T11:30:44,抑郁症超话,1,1,"[{""id"": ""[010d5a5e32]"", ""created_at"": ""05-22"", ""source"": ""来自安徽"", ""user"": {""id"": ""[e4d75cb6a5]"", ""screen_name"": ""[790df35fe3]""}, ""text"": "" [抱抱]"", ""like_counts"": 0, ""liked"": false}]",0,,[9b2d5b4678],2024-05-22 11:30:44
[8d23d301f2],[08038651bb],"#光与夜之恋#【美妙绮眠】白昼造梦，此誓相约。参与活动[译梦如期]，免费获得限定灵犀[夏鸣星·晴昼如常]。立刻下载《光与夜之恋》：
网页链接
 ",[9b2d5b4678],[8e5afa8dc5],[9b2d5b4678],,2024-04-20T16:22:11,光与夜之恋,5,1,"[{""id"": ""[2f89dcd907]"", ""created_at"": ""04-20"", ""source"": """", ""user"": {""id"": ""[0016dcda60]"", ""screen_name"": ""[a439e3fc96]""}, ""text"": ""好久不见，我和小伙伴们都在光与夜之恋的超话社区等你，快点来看看吧，回家指路&gt;&gt;光与夜之恋[超话]"", ""like_counts"": 0, ""liked"": false}]",0,光与夜之恋,[9b2d5b4678],2024-04-20 16:22:11
[894592e0a1],[8e88dfbb90],"#光与夜之恋#【恍如绚梦】韶光密语，怦然而动。参与活动[寻爱绮梦]，免费获得限定灵犀[查理苏·春意予你]。立刻下载《光与夜之恋》：
网页链接
 ",[9b2d5b4678],[ee3ef47cf8],[9b2d5b4678],,2024-04-11T18:53:28,光与夜之恋,1,1,"[{""id"": ""[de3323374d]"", ""created_at"": ""04-11"", ""source"": """", ""user"": {""id"": ""[0016dcda60]"", ""screen_name"": ""[a439e3fc96]""}, ""text"": ""好久不见，我和小伙伴们都在光与夜之恋的超话社区等你，快点来看看吧，回家指路&gt;&gt;光与夜之恋[超话]"", ""like_counts"": 0, ""liked"": false}]",0,光与夜之恋,[9b2d5b4678],2024-04-11 18:53:28
[b062060b81],[14660f1da5],#世界之外#卡关卡得我吐血，为什么相同的三张卡都是过思维关分数却不一样，我真的烦了，总是卡关总是卡关，养卡还难养服了你这个游戏了，我玩gy都没这样上火过！要不是我推在你手上我是真想a了 ,[9b2d5b4678],[9b2d5b4678],[9b2d5b4678],,2024-04-10T21:25:43,vivo X30专业影像,1,1,"[{""id"": ""[ef7e84ded9]"", ""created_at"": ""04-11"", ""source"": """", ""user"": {""id"": ""[0016dcda60]"", ""screen_name"": ""[a439e3fc96]""}, ""text"": ""你好，你感兴趣的“世界之外”已开通了超话社区～ 超话社区是微博旗下兴趣互动社区，快来与志同道合的小伙伴们一起交流互动吧！ 戳我进入&gt;&gt; 世界之外手游[超话]"", ""like_counts"": 0, ""liked"": false}]",0,世界之外,[9b2d5b4678],2024-04-10 21:25:43
